State_Region,count
Mu?la,6
Vannes,6
Zeeland,6
Friesland,6
Ouistreham,6
Tivat,6
Piemonte,6
Bremen,6
Paleo Faliro,6
Torquay,6
Groningen,6
Utrecht,5
South Of France,5
Dalmatia ,5
Empuriabrava,5
Zumaya,5
Brienz,5
Rome,5
Lyssach,5
United Kingdom ,5
Aalsmeer,5
Düsseldorf,5
Limassol,5
Klaipeda,5
Eivissa-San Juan,5
Cologne,5
Damp,5
Porto,5
Cherbourg-en-Cotentin,5
North Denmark Region,5
Gottlieben ,5
Lelystad,5
Le Havre,5
Ardrossan,5
Golfe-Juan,5
Stadtprozelten ,5
Kressbronn,5
Olbia,5
Abruzzo,5
Rixheim,5
Paceville,5
Rijeka,4
Masovian Voivodeship,4
Zaandam,4
Maldon,4
Copenhagen,4
Alpes Maritimes,4
Gent ,4
Mediterranean France,4
Rhône-Alpes,4
Providence of Vicenza,4
Prague,4
Costa Del Sol,4
Lavagna,4
Grimaud,4
Terherne,4
Heeg,4
Vinkeveen ,4
London,4
Barcares,4
Zwolle,4
St. Cast-Le-Guildo,4
Paca ,4
Zealand,4
Gillingham,4
Avenches,4
Les Marines De Cogolin,4
Lignano,4
North Brabant,4
Elbe,4
St. Florent,4
Villeneuve Loubet,4
Quiberon,4
Dunkerque,4
La Napoule,4
Zadar Nähe,4
Hessen,4
Hyeres,4
Wanssum,4
Toulon,4
Ubstadt-Weiherr ,4
Binic-Étables-sur-Mer,4
Wesel,4
Loctudy,4
Havel,4
Altea,4
Port Grimaud,4
Elders,4
Süddänemark,4
Waiblingen,4
Concarneau,4
Largs,4
Holland,4
Muiderzand,4
Brandenburg,4
Bretagne,3
Vaux-sur-Seine,3
Villarepos,3
Vésenaz,3
Rathenow,3
Weser,3
Bandol,3
South Italy,3
Portoro,3
Uitwellingerga,3
Oostende,3
Noirmoutier,3
Vinkeveen,3
St. Jean-Cap-Ferrat,3
Costa Norte Galicia,3
St. Raphael,3
Westerbroek,3
Makkum,3
Cádiz,3
Randers,3
Warten,3
Pula,3
Oléron,3
St. Jorioz,3
Gent,3
Warns,3
Südholland,3
Salerno,3
Wilhelmshaven,3
Biograd,3
Stockholm,3
Sas Van Gent,3
Locmiquélic,3
Marbella,3
Harlingen,3
Leiden,3
Florida,3
Kvarner Kvarner,3
Meppel,3
Faoug ,3
North of Portugal,3
Herford,3
Schweiz,3
Urkaine,3
Sizilien,3
Horgen,3
Rab ,3
La Foret Fouesnant,3
Den Helder,3
Castellón,3
Les Issambres,3
Corsica,3
Regio Roermond,3
Wr. Neustadt,3
Altendorf,3
Port Napoleon,3
Ibiza ,3
Oldenburg,3
Porto Vecchio,3
Belfast,3
Setúbal,3
Budva,3
Paimpol,3
Languedoc Roussillon,3
Tallinn,3
Greifswald,3
Troon,3
Elburg,3
Burgas,3
Brielle,3
Carentan,3
Helsinki,3
Monfalcone,2
Tyskland,2
Phuket,2
Leer,2
Tarragona,2
Málaga,2
Port De Bouc,2
Trieste,2
Port-St. Louis-Du-Rhône,2
St. Vaast La Hougue,2
North Holland,2
Boltenhagen,2
Altenkrempe,2
Calvia,2
Arnhem,2
Südfrankreich,2
Ijsselmeer,2
Urk,2
Wurster Nordseeküste,2
South of France,2
Kotor,2
Santa Margarita,2
Schwerin,2
Palmanova,2
Levington,2
Faro,2
Alicante ,2
Riga,2
Cabo De Palos,2
Allert Marin - Ausstellung,2
Heerenveen,2
Nord,2
Braunschweig,2
Pölich,2
Cambrils,2
Santander,2
Breege,2
Well,2
Santa Ponca,2
Great Britain,2
Rovinj ,2
Dormelletto,2
Yvonand ,2
Brielle ,2
Ems,2
Budapest,2
Hoorn,2
Foret-Fouesnant,2
Ostfriesland,2
Rom,2
Andratx,2
Barneville Carteret,2
Koblenz,2
Santa Ponca ,2
Werkendam,2
Barth,2
Jirnsum,2
Izola,2
West Italy,2
Zona Industriale Aussa Corno,2
Edam,2
Frejus,2
Southampton ,2
Winterstalling,2
Balaton,2
Manche,2
Sydsjælland,2
Zagreb,2
Urk ,2
Roermond ,2
Leidschendam,2
Nijmegen,2
Punat ,2
Maastricht,2
Nice,2
Ludwigshafen,2
Port Ginesta,2
Savoyeux,2
Cala D'Or,2
Le Crouesty,2
Almeria,2
Romanshorn ,2
Overijssel,2
Hamburg ,2
Rancate,2
De Punt,2
Solothurn,2
Starnberger See,2
Tscherlach Walenstadt,2
Heilbronn,2
Sukosan ,2
Paris,2
Sotogrande,2
Antwerpen,2
Sønderjylland,2
Den Bosch,2
Six-Fours-Les-Plages,2
Suffolk,2
Sete,2
Goldach,2
Porto Piccolo,2
Lymington,2
Ramsgate,2
Waren,2
Stäfa Am Zürichsee,2
Ammersee,2
Roses,2
Heidesee,2
Azores,2
Barcelona ,2
Jersey ,2
North Zealand,2
Beringen,2
Otterndorf,2
Malchow,2
Turnhout ,2
Lege,2
Baltic Sea,2
Bodensee,2
Zürich,2
Travemünde ,2
Küssnacht am Rigi,2
Uznach ,2
Schmerikon,2
Migennes,2
Founex,2
Uznach,2
La Trinite Sur Mer,2
Taufkirchen,2
Locarno ,2
Pula ,2
Lake Garda ,2
Neuchâtel ,2
South of Portugal,2
Kesswil,2
Inverkip,2
Kriens,2
Diessenhofen ,2
Ascona,2
Alsace,2
Limfjorden,2
Fussach,2
Locarno,2
La Corse,2
Rügen,2
Kolding,2
Stein Am Rhein,2
Venedig,2
Gerona,2
Nådendal,2
Kampen,2
Ostend,2
Worms,2
Port La Foret,2
Luzern,2
Thayngen,2
Turchia,2
Klagenfurt,2
Le Bouveret ,2
Central Denmark Region,2
Triest,2
Griechenland ,2
Sihlsee,2
Girona,2
Mykonos Island,2
Almere,2
Livorno,2
Plouër-Sur-Rance,1
Palermo,1
La Garnde Motte,1
Steenwijk,1
Brightlingsea,1
Vilppula,1
Stettin,1
Ypes,1
Bitte Anfragen,1
Rouen,1
Middelharnis ,1
Numansdorp ,1
Apulien,1
Lugano ,1
Vlaardingen,1
Dordrecht ,1
Northern Turkey,1
Granada,1
Trebes,1
Ta' Xbiex,1
Cataluña,1
Dinard,1
Reifnitz,1
Lingano,1
Fort-De-France,1
Assens,1
Western Turkey,1
Icici Opatija ,1
Russland,1
Lav,1
Ciutadella De Menorca,1
Hamble,1
Breda,1
Plougasnou,1
Sanary-Sur-Mer,1
Avignon,1
Aanbouw,1
Calafat,1
Ginevra ,1
St. Tropez,1
Harich,1
Venlo,1
Costa Brava ,1
Beirut,1
Veessen,1
Poligono Industrial A Tomada,1
Jersey,1
Burgum,1
Alexandria,1
Moraira,1
Solenzara,1
Mali Losinj,1
Fongrave,1
Dublin,1
Herkingen ,1
Saint-Frajou,1
Port De Noirmoutier,1
Terneuzen,1
Treauville,1
Bellegarde,1
Sitges,1
Anzio,1
Tyrrhenisches Meer,1
Lommel ,1
Röbel,1
Havelberg,1
Steenbergen ,1
Buzet Sur Baïse,1
Nevers,1
Korsika,1
Toulonl,1
Medemblik,1
Van Veen And Sons,1
Biddinghuizen,1
Ameland,1
La Manga,1
Perth,1
Bar,1
Urbanitzacio Galatzo,1
Zeewolde,1
Isola D'Elba,1
Walton On The Naze,1
Bari,1
Dunoon,1
Oslo,1
Primosten,1
Loosdrecht,1
Tyrrhenian Sea Tyrrhenian Sea,1
Reims,1
M. Gladbach,1
Burgenland,1
Annecy Le Vieux,1
Napoli,1
Wohltorf,1
Regio Kortrijk,1
Insel Cres,1
Angermünde,1
Sabaudia,1
Yvoire,1
Mar Mediterraneo,1
Narbonne,1
Ipswich,1
Kherson ,1
Morbihan,1
Viareggio,1
Jesolo,1
Thonon-Les-Bains,1
San Giorgio Di Nogaro,1
Marina Di Carrara,1
San Andrés De Llavaneras,1
Morgat,1
Lanzarote,1
La Baule,1
Oude Wetering,1
Hock Boote ,1
Alphen Aan De Rijn,1
Oude-Meer,1
Villefranche Sur Mer,1
Le Minihic-Sur-Rance,1
Rotterdamm,1
Stuttgart,1
De Woude,1
Flensburg ,1
Lavrio ,1
Zierikzee,1
Eindhoven,1
Castiglioncello,1
Imperia,1
Oberbayern,1
Malbork,1
Delfshaven,1
De Kaag,1
Insel Krk,1
Puerto Portals,1
Le Lavandou,1
Kotka,1
Umag - Boote Riedl,1
Kinrooi  ,1
Marina Di Castellabbate,1
Provence Alpes,1
Hardenberg,1
Usedom,1
Douglas,1
Jarnac,1
Tholen ,1
Wemeldinge,1
Beulieu,1
Juan Les Pins,1
Beziers,1
Castellammare Di Stabia,1
Châlon En Champagne,1
Laboe,1
Rendsburg,1
Paderborn,1
Le Marin,1
Dortmund,1
Swifterbant,1
Tholen,1
Gruissan,1
La Escala,1
Royan,1
Mannheim ,1
Hangö,1
Goes,1
Lithoijen  ,1
Oosterhout Nb ,1
Gibralter,1
Mahé,1
Adria,1
Lignano ,1
South Coast Italy,1
Schweden,1
Begunje,1
Msida,1
Regio Nijmegen,1
Koper Capodistria,1
Beuge,1
Valetta,1
Ensues,1
Faversham,1
Bremerhaven,1
Duisburg,1
Harlesiel,1
Plougonvelin,1
Leucate,1
Regio Antwerpen,1
Alcudia,1
Borgsdorf,1
Medemblik ,1
Schoten ,1
Joure,1
Isole Canarie,1
Aquitaine,1
Cuillé,1
Ijsselmmeer,1
Passajes,1
Amersfoort,1
Fano,1
Jämsä,1
Ducherow,1
Oostvoorne,1
Vasa,1
Türkei,1
Lago Di Garda,1
San Antonio ,1
Coevorden,1
Walton-On-Thames,1
Taivassalo,1
Ostküste,1
Port D'Andratx,1
Deventer,1
Lemmer ,1
Portimao,1
Licata,1
Portbail,1
Marcas,1
Menorca,1
Port Adriano,1
St. Cyr-Sur-Mer,1
Koper,1
Spiez,1
Instanbul,1
Elsfleth,1
Preveza,1
Montemarcello,1
Stevensweert ,1
Lefkada,1
Bornholm,1
Workum.,1
Arradon,1
Heeg ,1
Templin,1
Sant Feliu De Guíxols,1
Ta'Xbiex,1
D West,1
Gorinchem,1
Hurghada,1
Vermenton,1
Turku ,1
Glindow,1
Cancale,1
Texas,1
Marina,1
Kastel Gomilica,1
Biscarrosse,1
Maaseik,1
Perpignan,1
Seyne Sur Mer,1
Anzoátegu,1
Capo Ferro,1
Normandie,1
Dronrijp,1
El Toro,1
Hellevoetsluis ,1
Lago Di Garda Gardasee Italia,1
Prague ,1
Rothesay,1
Nouvelle-Aquitaine,1
Suède,1
Frankfurt Main,1
Dover,1
Kolhorn ,1
Portsmouth,1
St. Laurent Du Var,1
Island Krk,1
Casamicciola Terme,1
Grave ,1
Hesse,1
L'Hospitalet De Linfant,1
Islas Canarias,1
Théoule Sur Mer,1
The Netherlands,1
Le Landeron ,1
Regio Bergen,1
Schierstein,1
Grünheide,1
Île De France,1
Regensburg ,1
Baden Baden,1
Kesswil ,1
Mannheim,1
Oresund,1
Steinach,1
Whitby,1
Lage-Zwaluwe ,1
Glückstadt,1
Oste,1
Wegorzewo,1
Tampere ,1
Stralsund ,1
Martgues,1
Vestsjælland,1
Mölln,1
Friedrichshafen,1
Port Solent,1
Opwijk,1
Lago Maggiore Ch,1
Kilchberg ,1
Andenne,1
Punat,1
Brandenburg An Der Havel ,1
Dulliken,1
Ampuria Brava,1
Werfenweng,1
Zeeland ,1
Rosignano Marittimo,1
Walenstadt,1
Lago Azul,1
San Remo,1
Jastarnia,1
Bourgogne-Franche-Comté,1
Lac Du Der,1
Landschlacht,1
Rolle,1
Winsum,1
Tartu ,1
Bavaria,1
Gersthofen ,1
Southcoast Gb ,1
Kilchberg,1
Dießen Am Ammersee,1
Hilzingen,1
Oder-Spree Brandenburg,1
Ostbevern,1
Steelhaven,1
Hainaut ,1
Raseborg,1
Tremolat,1
Wijdenes,1
Seengen,1
Niederurnen,1
"Marine Test Centre ""Italo Monzino""",1
Lavrion,1
Gizycko Masurian Lakes,1
Stansstad ,1
Schwarzes Meer,1
Ebeltoft,1
Mendonk ,1
Bochum,1
Breisach,1
Zaton,1
Lago Di Como,1
Kelheim,1
Menton ,1
Außenlager,1
Lake Neusiedl,1
Lievegem,1
Queenborough,1
Zingst,1
Geel,1
Maaseik ,1
Riga ,1
Wolgast ,1
Zeebrugge ,1
Regio Gent,1
Bielefeld,1
Richterswil,1
Romanel,1
Port De Beaulieu,1
Decize,1
Romanshorn,1
Thurgau,1
Genua,1
Meilen,1
Lac De Gruyère,1
Thalwil,1
Sipplingen,1
Loano ,1
Sada ,1
Juelsminde Havn ,1
Weggis,1
Rhein Neckar Kreis,1
Turgi Canton Aargau,1
Salo Gardasee ,1
Barssel,1
Mainz-Kostheim,1
Sempachersee,1
Neukirchen-Vluyn ,1
Soltau,1
Gottlieben,1
Askersund ,1
Angera ,1
Vaud,1
Märstetten,1
Thal,1
Tenero,1
Jylland,1
Horn ,1
Thun,1
Solothurn ,1
Versoix ,1
Split ,1
Koh Chang ,1
Selzach,1
Altenrhein,1
Zug,1
Rheinfelden,1
Sihlsee ,1
Minusio,1
Lausanne,1
Steinwiesen,1
Andelfingen,1
Ermatingen,1
Porec,1
Santarém,1
Bern ,1
Belgrade,1
Menzingen,1
Mallorca ,1
Luik ,1
Hemmenhofen,1
Annecy,1
Niederrhein See,1
Bonn,1
Tolochenaz ,1
Thuin,1
Zulte ,1
Dubrovnik ,1
Welschenrohr,1
Aschach,1
Braga,1
Isola,1
Bornheim,1
Corre ,1
Stolpsee ,1
Costa Dorada,1
Izegem,1
Brouwershaven,1
Simuni ,1
Porto Santo Stefano ,1
Aarau,1
Kappeln,1
Esbjerg ,1
Bern,1
Vääksy ,1
Tarragona ,1
Leiria,1
Lommel,1
Chalkidiki,1
Krummhörn,1
Nyon,1
Steckborn,1
Ebermannstadt,1
Rostock ,1
Bunschoten,1
Einigen,1
Lower Saxony ,1
Bremgarten Bei Bern ,1
Silo,1
Nyhavn,1
Oldenburg ,1
Oder,1
Stäfa Am Zürichsee ,1
Malcesine,1
Essex,1
Padenghe Sul Garda Padenghe Sul Garda Padenghe Sul,1
Schokkerhaven,1
Nürnberg-Fürth,1
Ceuta ,1
Bel Voor Afspraak,1
Neckar,1
Viladamat,1
Pingjum,1
Trogir ,1
Ametlla De Mar,1
Port Zélande,1
D Mitte,1
Schoten,1
Oranienburg,1
Den Helder ,1
Solina,1
St. Hillaire Pettiville,1
Hürtgenwald,1
Cap Ferret,1
Leukemeer,1
Mülheim Ruhr,1
Nystad,1
Montenegro ,1
Travemünde,1
Hamina,1
Saale,1
Lauwersoog,1
Poitou Charentes,1
Mühlhausen - Ehingen,1
Sint Maartensdijk,1
Corfu,1
Sjælland,1
Irnsum,1
Albufeira,1
Zurigo ,1
Bruinisse,1
Formia,1
Faenza,1
Willemstad,1
Maastricht ,1
Attersee,1
Camargo,1
Wieringerwerf,1
Voralberg,1
Lychen Uckermark,1
Tyrrhenian,1
Schiedam ,1
Mahón,1
Central Adriatic,1
Lecci,1
Pesaro,1
Deggendorf,1
Wiesbaden,1
Greenock,1
Hilzingen ,1
Bad Ems,1
Neuruppin,1
Rheinau,1
Grou ,1
Area Gothenburg,1
Plougerneau,1
Konstanz ,1
Napoule,1
Brisbane City,1
Kaohsiung,1
Balk,1
Borgå,1
Marina Di Villa Igea,1
Costa De La Luz,1
Ouderkerk aan den Ijssel,1
Woubrugge,1
Lago Di Garda Gardasee,1
Tuscany,1
St-Jean-Cap-Ferrat,1
Lying Off Site,1
Tiel,1
Ijsseldelta Marina Hattem,1
Koblenz ,1
Goingarijp,1
Porto Rotondo,1
Osnabrück,1
Sanremo,1
Bergen,1
Madarska,1
Shetland,1
Jyväskylä,1
St. Martin,1
Yvonand,1
Reeuwijk,1
Var,1
Bad Saarow ,1
Veluwemeer,1
Modena,1
Moniga Del Garda  ,1
Holm,1
Eutin,1
Pöllau,1
Ostdeutschland,1
Corfu ,1
Ueckermünde,1
Ochsenfurt Am Main,1
Valencia ,1
Emden,1
Brussels,1
Murter ,1
Lahnstein,1
Menaggio Comer See,1
Basel ,1
Reinsberg,1
Cuijk North Brabant,1
South Of France ,1
Hallwilersee,1
Spakenburg,1
Leopoldsburg,1
Calpe,1
Marina Punat,1
Lake Ijssel,1
Brunnen,1
Beilngries ,1
Landshut,1
Roma,1
Öhningen,1
Katwijk ,1
Uitgeest,1
Antwerp,1
Costa Del Azahar,1
Havelsee,1
Woudsend ,1
Bremen ,1
Sölvesborg,1
Mühlehorn ,1
Kassel,1
Bouveret ,1
Bissendorf,1
Loosdrecht ,1
Ouddorp ,1
Antalya,1
Mulhouse,1
Sassenheim,1
North Sea,1
Regio Breda,1
Drachten,1
Bleckede,1
Conyer,1
Genthin,1
Ijlst,1
Schlögenerschlinge,1
Skovshoved,1
Sezana,1
Osnabrück ,1
Pirovac,1
Monte Carlo,1
Catania,1
Århus,1
Dalsbruk,1
Adriatic Sea ,1
Kinrooi ,1
Holbæk,1
Egå,1
Riedstadt,1
Genemuiden ,1
Naantali ,1
Zevenbergen,1
Hannover,1
Schlei,1
Marina Veruda ,1
Ancona,1
Kamperland,1
À Terre Sur Remorque,1
Kropswolde,1
Calanova Mallorca ,1
Gaastmeer,1
